"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"psi.fs[3]",0.211920587229411,0.327824262443679,0.000294521892794031,0.000883565678382093,0.00191376287940486,0.584135087374828,0.952412522969181,6.70141692098647,3
"psi.fs[4]",0.0759966540806232,0.121580266612356,9.8173964264677e-05,0.000490869821323385,0.0012762615354408,0.150917926565875,0.375706852542706,3.40844842699559,4
"psi.fs[5]",0.160354339736536,0.237571148043042,0.000294521892794031,0.00098173964264677,0.00215982721382289,0.371882821022424,0.669713073641464,6.85371576066888,3
"psi.fs[6]",0.00635988362265224,0.00326080038897718,0.00215982721382289,0.00422148046338111,0.00579226389161594,0.00775574317690948,0.0145762969171679,1.18253037463179,15
"psi.fs[7]",0.045518896094591,0.0150783805707119,0.0235150676777392,0.0350481052424897,0.0430001963479285,0.0532839021364966,0.0835926618465202,1.02332168963623,90
"psi.fs[8]",0.130641412650363,0.0161276627708752,0.100876190717519,0.119674062438641,0.129884154722168,0.140585116827017,0.165175233250726,1.00763516510786,280
"psi.fs[9]",0.123422997317834,0.0145385159598534,0.0973419275714221,0.1131209423386,0.122717455330846,0.133123895542902,0.153544080109955,1.00417285060638,800
"psi.fs[10]",0.600012626851199,0.025099455694728,0.551494696426831,0.583349695660711,0.599695658701817,0.616532495582172,0.648924987683716,1.0068972734263,310
"psi.fs[11]",0.74974848316909,0.0141661616294622,0.720353915472884,0.740648928683867,0.749852739053603,0.759179265658747,0.776897210312558,1.00176412842339,1500
"psi.fs[12]",0.888491641401193,0.0253296554174549,0.838064498860553,0.871416649267475,0.888425288257126,0.905556646377381,0.937846042721952,1.04301857373302,88
"psi.fs[13]",0.886805615393803,0.0130687633203311,0.85946642310596,0.878362458276065,0.887590810916945,0.895739249950913,0.910708323832593,1.00496124131126,440
"psi.fs[14]",0.838245366793155,0.0786251091805648,0.660467797120162,0.787944237188298,0.848812089354976,0.896230119772236,0.964409482358849,1.08743298369051,28
"regres.pdet",0.00782549402529157,0.0259116980029789,-0.0331480426735709,-0.0128834470750736,0.000748595219581312,0.0393316376716057,0.0446266176464558,4.04497738433598,3
"regres.psi",0.0641799019815397,0.0250474149681844,0.0195372391518127,0.0329183774546402,0.0799289262906566,0.0823821426800063,0.0850662673515661,5.30562717239081,3
"sd.lp",2.09703407252755,1.37613228839552,0.677049058752988,0.99167073104915,1.37569182631629,3.45454582195199,4.7992437605346,3.91543892883315,3
"tau.lp",0.654857379379528,0.622279618585173,0.0434164572160937,0.0837949960264607,0.528393767212461,1.01686900380349,2.18152263091715,3.91543892883315,3
